RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1,audio,image
Sundar,1,372,400,28080,28448,363.9,180.5,RIGHT,52,216,10521986,840,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,388,456,28504,28888,374.3,584.8,RIGHT,52,216,10521986,853,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,304,455,28944,29244,362.3,267.2,RIGHT,24,216,10521986,866,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,540,458,29272,29808,338.1,190.8,RIGHT,52,216,10521986,876,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,332,460,29864,30192,636.4,455.9,RIGHT,40,216,10521986,894,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,192,410,30236,30424,795.5,607.8,RIGHT,20,216,10521986,905,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,120,392,30448,30564,775.1,557.9,RIGHT,32,216,10521986,911,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,204,399,30600,30800,762.4,380.9,RIGHT,24,216,10521986,916,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,148,416,30828,30972,761.2,304.5,RIGHT,28,216,10521986,922,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,128,413,31004,31128,756.8,196.7,RIGHT,56,216,10521986,928,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,420,438,31188,31604,302,191.8,RIGHT,64,216,10521986,933,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,232,411,31672,31900,942.1,487.2,RIGHT,32,216,10521986,948,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,144,391,31936,32076,978.1,594.7,RIGHT,36,216,10521986,956,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,200,395,32116,32312,790.1,601.1,RIGHT,44,216,10521986,961,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,116,425,32360,32472,569.5,629.7,RIGHT,48,216,10521986,968,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,220,469,32524,32740,238.9,633.5,RIGHT,28,216,10521986,973,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,224,457,32772,32992,295.2,641.6,RIGHT,156,216,10521986,981,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,444,480,33152,33592,263,653.6,RIGHT,36,216,10521986,992,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,132,519,33632,33760,428,638,RIGHT,116,216,10521986,1007,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,152,470,33880,34028,398.2,274.6,RIGHT,28,216,10521986,1014,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
